x_value,throughput_packets_per_s,throughput_bits_per_s,throughput_bits_std,collision_rate,collision_rate_std,mean_delay_s,mean_delay_std
1,731.6666666666666,8780000.0,16434.11086733931,0.15551334023032895,0.01326241349296486,0.0032840574540909232,0.00010856683719891785
2,737.7333333333333,8852800.0,47450.18440427814,0.1599208732160406,0.00572889668710124,0.0037493297457358277,5.5381442425495515e-05
3,737.1333333333333,8845600.0,60536.270119656365,0.16192371726607718,0.01258483237223915,0.0038597911732169404,0.00018233778254001795
4,741.4,8896800.0,37386.62862575335,0.16823903112362923,0.004908497942802919,0.004005046968127635,0.00010014999887357656
5,735.0666666666666,8820800.0,88341.15688624413,0.15959713994918304,0.007692844329393964,0.003857825168671663,4.835876307963384e-05
6,737.0666666666666,8844800.0,64706.10481245181,0.16153376077809803,0.006293905820440462,0.003912293489073245,4.7541242010780866e-05
7,738.0666666666666,8856800.0,65940.5793119836,0.15585666101773157,0.01058927044558137,0.003820024243478459,0.00012537230459417
8,740.8000000000001,8889600.0,39338.53073006159,0.1564751832733887,0.005947251193465839,0.003806619279054554,4.543763009379473e-05
9,737.8666666666667,8854400.0,27874.002224294953,0.15368851128322175,0.011042838410759618,0.00373496791749403,0.00011872319407402498
10,733.8666666666667,8806400.0,57943.42067914182,0.14831847639486656,0.002069324232952345,0.0036551653007052248,3.333072203396778e-05
11,734.4,8812800.0,79767.66262088917,0.15013869735430038,0.0014057126084780032,0.0037259959512304115,1.4610197522402811e-05
12,735.6666666666667,8828000.0,52079.938556031346,0.14710805819603764,0.01033519933231302,0.003630257944895005,0.00012655235674182693
13,731.0,8772000.0,23758.787847867996,0.15126161916729122,0.009627443717564015,0.0037328206982471714,0.00018280189234610436
14,732.7333333333333,8792800.0,57777.504272856924,0.15096317878473248,0.005805598535201289,0.003732436502373802,9.055716138995309e-05
15,735.4666666666667,8825600.0,29997.33321480428,0.1609161623562992,0.005815363070015645,0.0038627658031955923,5.6063173921713486e-05
16,737.4666666666667,8849600.0,29350.298124550627,0.1546082116234501,0.0061053699759684235,0.0037689631304619483,7.355119076226456e-05
17,737.7333333333333,8852800.0,105896.55329612952,0.15074334472779607,0.007755121221594048,0.003751834438867238,2.2543856049627134e-05
18,741.0666666666667,8892800.0,85558.86862272081,0.14085066532685622,0.00678680857115607,0.003671217914091765,4.798535016817256e-05
19,734.0,8808000.0,67399.70326344174,0.15520999148526915,0.0015403523268392285,0.003768041261729286,5.594919019878297e-05
20,735.4666666666667,8825600.0,46137.186736947886,0.1696627752532496,0.014342251711657579,0.003994482238810159,0.00016253767099619904
